Enteroendocrine,Enterocyte,Secretory,Stem,MCell
GFRA3,MEP1B,ZG16,LGR5,TNFAIP2
CHGB,ANPEP,TFF3,GKN3P,CCL9
TP53I11,APOA1,AGR2,ASCL2, GP2
NEUROD1,IGSF9,SCIN,OLFM4, SCG5
VWA5B2,IL18,PDIA5,RGMB,
CCK,ACE2,TPSG1,IGFBP4,
RFX6,CREB3L3,CHST4,JUN,
PRNP,KRT20,BCAS1,PDGFA,
PCSK1,SLC9A3,BACE2,SOAT1,
SYT13,DPEP1,GALNT12,TNFRSF19,
RPH3AL,SLC25A45,REP15,CYP2E1,
FABP5,RBP2,S100A6,FSTL1,
PAM,MS4A18,CAPN9,IFITM1,
SCGN,REG1B,SPDEF,PRELP,
APLP1,CLEC2D,ATOH1,SCN2B,
FEV,SLC51B,GUCA2A,HLA-DQB1,
SCG5,CYP2D6,PLA2G10,SLC1A2,
CELF3,BCO2,MLPH,CD74,
RESP18,SLC3A1,SCNN1A,SP5,
NEUROG3,CYP3A4,ERN2,NOXA1,
MAGED1,SLC16A5,TTC39A,RGCC,
SCG3,MAOB,LIPH,SORBS2,
PAX4,SI,C1GALT1C1,SECTM1,
OLFM1,ACAD11,KCNK6,CDO1,
CPLX2,EDN2,CREB3L4,SLC14A1,
ISL1,SULT2B1,SLC12A8,CLCA2,
GPX3,SLC7A7,PTPRR,TIFA,
ANXA6,DGAT2,KLK1,PLS3,
GNG4,ENPEP,TNFAIP8,HMGCS2,
MREG,FMO5,LRRC26,ARID5B,
MAP1B,FAM3B,C1GALT1,AGR3,
BEX1,SLC26A6,GALNT7,SLC12A2,
BAIAP3,MPP1,FAM174B,RASSF5,
DISP2,APOA4,SGSM3,AC004687.2,
,SLC5A11,GALNT3,NRN1,
LRP11,C11orf86,SPATS2L,LAMB3,
RIMBP2,ECI2,CCL15,CD44,
SNAP25,CYP4F2,SYTL2,AXIN2,
KLHDC8B,ACE,CA8,SLC27A2,
FOXA2,HSD17B6,UAP1,AFAP1L1,
GCK,RDH16,ASPH,CCDC3,
PCSK1N,ALPG,SLC50A1,LRIG1,
GDAP1L1,GPD1,SMIM14,NOXO1,
MAP3K15,PTPRH,CREB3L1,CDK6,
KCNH6,PAPSS2,HGFAC,TGIF1,
PRODH2,GGT1,STARD3NL,TNS3,
LHFPL2,ALDH1A1,TSPAN13,NR2E3,
FAM183A,NAALADL1,GSN,EFNA4,
NKX2-2,HSD17B2,CAPN8,RNF32,
PAX6,EXOC3L4,GCNT3,PRSS23,
ADPRM,HPGD,TXNDC5,SMOC2,
MYT1,GNPDA1,ATP2C2,MECOM,
KCNK16,MS4A10,HPD,ESRRG,
TAC1,UGT2A3,BHLHE40,AC004691.2,
SCARB1,UPP1,TFCP2L1,ZNRF3,
ACADSB,LRRC19,QSOX1,GRB7,
VIM,FMO4,ST3GAL6,PHGDH,
XPNPEP2,HKDC1,RAP1GAP,AQP4,
AC034228.4,NR1H3,KCTD14,LCP1,
PARP6,AGMO,KDELR3,CA12,
PLXNB1,SLC6A20,GALNT10,ZBTB38,
CNOT6L,SOAT2,DNAJC10,CDCA7,
NCALD,CES2,SYTL4,FAM13A,
SCG2,BCL2L15,HID1,SHISA2,
PHLDB2,ENTPD5,SAMHD1,DTX4,
PEG3,CNDP2,FKBP11,SLC19A2,
MAPRE3,TMEM37,GALNT5,CD14,
AC244197.3,GDA,TMED3,MYO9A,
AMIGO2,ABCG5,ICA1,APP,
DNER,MOGAT2,SLC66A3,CLIC6,
SYP,ABHD3,TMEM123,WEE1,
TOX3,ST3GAL4,SDF2L1,LANCL1,
INSM1,SLC5A1,S100A14,CASP12,
ADORA3,TUBAL3,ERGIC1,SH3RF1,
TMEM106C,GSTM1,FOXA3,LRP4,
SSTR1,SPHK1,STX17,ARHGEF26,
CBFA2T2,SLC26A3,AC020907.6,ETV6,
SLC39A2,TMEM106A,CSRP1,CTTNBP2,
RASD1,SLC27A4,PDIA6,SLC16A13,
CACNA2D1,SOWAHA,TINAGL1,HTR4,
RAB36,SLC6A4,RCAN3,PDXK,
AKNA,MME,FAM114A1,IMMP2L,
GHRL,ADAMTSL5,CMTM7,NAP1L1,
C8orf37,ALDH1L1,MON1A,SDC4,
RBFOX2,GPT,SLC7A4,EPN3,
PDE1C,EMP1,TNFRSF21,SIPA1L1,
MAPK8IP2,COX7A1,TOR3A,ZNF341,
SCN3A,APOC3,P2RX4,NGEF,
SSTR5,ABCG8,MYO5C,NRG4,
LYPD1,PEX11A,NIPAL2,CSAD,
MARCKS,OSGIN1,TMEM39A,RIN2,
RIIAD1,SLC28A1,SIL1,CD81,
TRIT1,C17orf78,SLC17A9,IRF2BP2,
PTPRU,NAT8,MCF2L,SESN3,
APBB1,NR1I3,AC093668.1,PHLPP1,
GALR3,SLC51A,CGREF1,YAP1,
RAPGEF4,FABP1,GALK2,MFGE8,
SPHKAP,ABCC2,WARS,ITGA1,
GOLIM4,APOB,EDEM1,PCDH8,
CDK2AP1,MICAL2,SLC35A1,VDR,
AC092143.1,MGAT4C,TM9SF3,KCNQ1,
TMEM182,HLA-A,FHL1,SLC28A2,
FAM135A,HDHD3,SEC24D,ZFP36L1,
FAM43A,SEC23A,SEL1L3,UROD,
GOLGA7B,SLC7A9,TMED9,RGS12,
SLC26A4,TMEM86A,CD9,NFIB,
CHD7,NPC1L1,RASD2,SDSL,
CERKL,BTNL2,EDEM2,NFIA,
CPLX1,ACOT9,GOLPH3L,,
GALR1,PAQR7,ARFIP2,,
GPR119,CBLC,TSTA3,,
FAM160A2,TMEM253,TVP23B,,
